month,team_member_id,target_omset
2024-01-01,1,463772806
2024-01-01,2,400935305
2024-01-01,3,254380110
2024-01-01,4,513339743
2024-01-01,5,325881637
2024-01-01,6,354049169
2024-02-01,1,443204759
2024-02-01,2,223234510
2024-02-01,3,385933626
2024-02-01,4,245968757
2024-02-01,5,334278815
2024-02-01,6,280705119
2024-03-01,1,449546199
2024-03-01,2,266653416
2024-03-01,3,323850419
2024-03-01,4,419599984
2024-03-01,5,210274621
2024-03-01,6,347240432
2024-04-01,1,216816569
2024-04-01,2,307147827
2024-04-01,3,207654909
2024-04-01,4,237814054
2024-04-01,5,306388866
2024-04-01,6,418520688
2024-05-01,1,299157604
2024-05-01,2,349638768
2024-05-01,3,358428240
2024-05-01,4,272073914
2024-05-01,5,402139760
2024-05-01,6,367997441
2024-06-01,1,211506305
2024-06-01,2,354777819
2024-06-01,3,421099573
2024-06-01,4,341951830
2024-06-01,5,323035620
2024-06-01,6,339892447
2024-07-01,1,342875872
2024-07-01,2,240163712
2024-07-01,3,423604114
2024-07-01,4,439253117
2024-07-01,5,285447809
2024-07-01,6,332863028
2024-08-01,1,423135403
2024-08-01,2,244165849
2024-08-01,3,406804639
2024-08-01,4,427174085
2024-08-01,5,434313119
2024-08-01,6,329693942
2024-09-01,1,402445635
2024-09-01,2,278826934
2024-09-01,3,249905866
2024-09-01,4,445476535
2024-09-01,5,415339130
2024-09-01,6,434762640
2024-10-01,1,374875390
2024-10-01,2,428233509
2024-10-01,3,437439255
2024-10-01,4,340877636
2024-10-01,5,231378291
2024-10-01,6,397238369
2024-11-01,1,272130044
2024-11-01,2,347673985
2024-11-01,3,406698744
2024-11-01,4,249420388
2024-11-01,5,367259564
2024-11-01,6,468786826
2024-12-01,1,342626363
2024-12-01,2,357024409
2024-12-01,3,270897011
2024-12-01,4,270495522
2024-12-01,5,271058734
2024-12-01,6,431397084
2025-01-01,1,456506357
2025-01-01,2,370238786
2025-01-01,3,296476397
2025-01-01,4,489626569
2025-01-01,5,391714990
2025-01-01,6,311930804
2025-02-01,1,301573977
2025-02-01,2,251939266
2025-02-01,3,367485586
2025-02-01,4,355331731
2025-02-01,5,286641503
2025-02-01,6,344639686
2025-03-01,1,412027187
2025-03-01,2,212984808
2025-03-01,3,214764960
2025-03-01,4,296946087
2025-03-01,5,250402943
2025-03-01,6,276241446
2025-04-01,1,308276583
2025-04-01,2,253777024
2025-04-01,3,417712394
2025-04-01,4,322691547
2025-04-01,5,404939192
2025-04-01,6,418929624
2025-05-01,1,292649393
2025-05-01,2,413432470
2025-05-01,3,378017694
2025-05-01,4,210047453
2025-05-01,5,235581225
2025-05-01,6,234109026
2025-06-01,1,376308486
2025-06-01,2,350255355
2025-06-01,3,414554767
2025-06-01,4,220281689
2025-06-01,5,391849071
2025-06-01,6,437085688
2025-07-01,1,271450611
2025-07-01,2,327348283
2025-07-01,3,246510960
2025-07-01,4,433441281
2025-07-01,5,331437871
2025-07-01,6,319912701
2025-08-01,1,295415947
2025-08-01,2,309169700
2025-08-01,3,232797855
2025-08-01,4,234795514
2025-08-01,5,205184502
2025-08-01,6,313944584
